Spanish translation of SH_Values;";";SH_Value;es
Inversión Financiera;Financial Investment
;Agriculture
Industria alimentaria;Food production
Sector energético;Energy sector
;Mining
;Financial sector
;Tourism
;Other
;State-owned company
;Private company
Fondo de inversión;Investment fund
;Public investor
;Individual entrepreneur
;Semi-state owned
;Other
