French translation of A_Keys;";";A_Key;fr
Précision spatiale;Spatial Accuracy
Statut de la négociation;Negotiation Status
Pays;Country
;Intended area (ha)
Intention de l'investissement;Intention of Investment
Source des données;Data source
Nom;Name
Caractère de l'opération;Nature of the deal
Récolte;Crop
Animaux;Animals
Minéraux;Mineral
Utilisation des produits;Use of produce
Extraction de l'eau;Water extraction
Les investisseurs payent combien pour l'eau;How much do investors pay for water
Quelle quantité d'eau est extraité (m3/an);How much water is extracted (m3/year)
Numéro de référence original;Original reference number
;Scope of agriculture
;Scope of forestry
;Contract area (ha)
Zone actuelle en exploitation (ha);Current area in operation (ha)
Durée de l'accord (en années);Duration of Agreement (years)
L'état de mise en œuvre;Implementation status
;Purchase price
;Purchase price area (ha)
Frais de location (par an);Leasing fee (per year)
;Annual leasing fee area (ha)
Agriculture contractuelle;Contract farming
;Announced amount of investement
Superficie (ha);Area (ha)
Nombre d'agriculteurs;Number of farmers
;Planned number of employees
;Current number of employees
;Planned total number of jobs
;Current total number of jobs
;Planned Number of daily/seasonal workers
;Current Number of daily/seasonal workers
Comment a réagi la communauté;How did community react
Consultation de la communauté locale;Consultation of local community
Compenstation promis ou reçus;Promised or received compensation
Avantages pour les collectivités locales;Benefits for local communities
Nombre de personnes effectivement déplacées;Number of people actually displaced
L'ancien propriétaire prédominante du terrain;Former predominant land owner
Ancien utilisateur prédominante des terres;Former predominant land use
Ancien utilisation prédominante des terres;Former predominant land cover
URL / Web;URL / Web
Date;Date
;Year
;Percentage
Remarque;Remark
