French translation of Activity Keys;";";A_Key;fr
Animals;Elevage;;
Announced amount of investment;Montant annoncé de l'investissement;;
Annual leasing fee area (ha);Redevances foncières annuelles par hectare;ha;ha
Benefits for local communities;Contreparties pour les populations locales;;
Consultation of local community;Consultations tenues au niveau local ;;
Contract Number;;;
Contract area (ha);Superficie sous contrat (ha);ha;ha
Contract date;Date de signature du contrat;;
Contract farming;Agriculture contractuelle ;;
Country;Pays ;;
Crop;Cultures;;
Current Number of daily/seasonal workers;Emplois temporaires créés (nombre);;
Current area in operation (ha);Superficie exploitée (ha) ;ha;ha
Current number of employees;Emplois permanents créés (nombre);;
Current total number of jobs;Emplois total créés;;
Data source;Source des données;;
Date;Date;;
Duration of Agreement (years);Durée du contrat (années);years;
Files;Fichiers;;
Former predominant land cover;Couverture végétale dominante antérieure;;
Former predominant land owner;Statuts juridiques antérieurs des terres ;;
Former predominant land use;Usages antérieurs de la terre ;;
How did community react;Réactions des communautés locales;;
How much do investors pay for water;Redevances hydrauliques en AR/m3;;
How much water is extracted (m3/year);Volume d'eau prélevé en m3/année;m3/year;m3/année
Implementation status;Etat d'avancement ;;
Intended area (ha);Superficie visée (ha);ha;ha
Intention of Investment;Secteur d'activité ;;
Leasing fee (per year);Redevances foncières annuelles (total payé par année);per year;par année
Mineral;Minéraux;;
Nature of the deal;Type d'accès à la terre ;;
Negotiation Status;Etape administrative pour l'accès au foncier;;
Number of farmers;Nombre d'agriculteurs ;;
Number of people actually displaced;Nombre de personnes effectivement déplacées;;
Original reference number;;;
Planned Number of daily/seasonal workers;Emplois temporaires annoncés (nombre);;
Planned number of employees;Emplois permanents annoncés (nombre);;
Planned total number of jobs;Emplois total annoncés;;
Promised or received compensation;Engagements écrits relatifs aux contreparties;;
Purchase price;Prix d'achat total;;
Purchase price area (ha);Prix d'achat par ha;ha;ha
Remark;Remarque;;
Scope of agriculture;Destination des produits agricoles;;
Scope of forestry;Destination des produits forestiers;;
Spatial Accuracy;Résolution spatiale ;;
URL / Web;URL : Web;;
Use of produce;Marchés visés;;
Water extraction;Utilisation d'eau ;;
Year;Année;;
