French translation of Stakeholder Keys for SPM;";";SH_Key;fr
(Potential) prime tourism destination;Potentiel comme prime de destination touristique ;
Address;Adresse;
Agreements with other organisations;Agréments / coordination avec d’autres organisations;
Agricultural potential;Potentiel agricole;
Approximate annual total global budget (in USD);Budget annuel total global (USD);USD
Approximate annual turnover (in USD);Budget annuel total Madagascar (USD);USD
Climate change treaties;Régulations internationales du changement climatique;
Country of origin;Pays d'origine;
Deforestation;Déforestation;
Disasters;Fléaux naturels;
Donors strategies;Stratégies de bailleurs;
Easily accessible land for crop production;Terres facilement accessibles pour agriculture;
Embeddedness;Ancrage institutionnel;
Environmental potential;Potentiel environnemental;
Established contacts;Contacts établis;
Favourable land prices;Prix de terres favorables;
Favourable production conditions;Conditions de production favorables;
Francophone country;Pays francophone;
Gender inequalities;Inégalité de genres;
General mission of stakeholder;Mission générale;
Governance;Gouvernance;
High level of public attention;Niveau d’attention publique élevé;
Institutional issues;Facteurs institutionnels;
Institutions respected;Codes et décrets régissant les activités à Madagascar;
International dynamics and factors;Dynamiques / facteurs internationaux;
Knowledge produced by research;Connaissances produit par recherche;
Legal issues;Facteurs légaux;
Low level of education;Faible niveau d’éducation;
Main domain of Natural Resource Management;Domaine principale dans la gestion des ressources naturelles;
Malnutrition;Malnutrition;
Number of permanent expatriate staff employed;Nombre de personnel expatrié employé;
Number of permanent local staff employed;Nombre de personnel local employé;
Other;Autre;
Other environmental problems;Autres problèmes environnementaux;
Other socio-economic problems;Autres problèmes socio-économiques;
Personal relations;Relations personnelles;
Phone;Téléphone;
Political instability;Instabilité politique;
Political issues;Facteurs politiques;
Politics in organisation's home country;Politique au pays d’origine de votre organisation;
Poverty;Pauvreté;
Regional dynamics and factors;Dynamiques et facteurs régionaux ;
Remark;Remarque;
Socio-economic potential;Potentiel socio-économique;
Stakeholder Name;Nom;
Start of involvement in Madagascar;A Madagascar depuis quand;Year
Threatened biodiversity hotspot;Biodiversité en danger;
Type of stakeholder;Type d'organisation;
Website;Site Web;
Your donors strategies;Stratégies de bailleurs;
